|         email       | password | regno    |       v5c    |firstname|lastname|dateofbirth|cost|    
| sank@mailinator.com |Password1 |CY12 EGF   |  23457854562 | dug     |robert  | 21/10/1980|FREE|   
| sank@mailinator.com |Password1 |YD53 PXH   |  23457854562 | dug     |robert  | 21/10/1980| 6  | 
| sank@mailinator.com |Password1 |VE59 TCZ   |  23457854562 | dug     |robert  | 21/10/1980| 12 |   
| sank@mailinator.com |Password1 |YH10 HRX   |  23457854562 | dug     |robert  | 21/10/1980| 12 | 
| sank@mailinator.com |Password1 |CE08 SDO   |  23457854562 | dug     |robert  | 21/10/1980| 12 |   
| sank@mailinator.com |Password1 |CA06 YMH  |  23457854562 | dug     |robert  | 21/10/1980| 12 |
| sank@mailinator.com |Password1 |AK05 LZC   |  23457854562 | dug     |robert  | 21/10/1980| 12 |   
| sank@mailinator.com |Password1 |NG11 GOK  |  23457854562 | dug     |robert  | 21/10/1980| 12 |
| sank@mailinator.com |Password1 |FG54 FLM   |  23457854562 | dug     |robert  | 21/10/1980| 12 |   
| sank@mailinator.com |Password1 |RE04 HJJ   |  23457854562 | dug     |robert  | 21/10/1980| 12 |
| sank@mailinator.com |Password1 |CF55 JYP  |  23457854562 | dug     |robert  | 21/10/1980| 12 |   
| sank@mailinator.com |Password1 |FX63 YCH   |  23457854562 | dug     |robert  | 21/10/1980| 12 |
| sank@mailinator.com |Password1 |KN63NJJ   |  23457854562 | dug     |robert  | 21/10/1980| 18 |
| sank@mailinator.com |Password1 |EY56 YXL   |  23457854562 | dug     |robert  | 21/10/1980| 12 |
| sank@mailinator.com |Password1 |WF13 SUX     |  23457854562 | dug     |robert  | 21/10/1980|FREE|
